speech_id,line_id,sentence_id,sentence_text,valence,arousal,dominance
S001,5,3,"One kid said to me, “Yeah, we were talking about this,” and said to me, “Yeah, that’s why I don’t like going to fifth period.” I said, “Why, sweetheart?",0.6736666666666666,0.36599999999999994,0.3713333333333333
S001,5,4,"Why don’t you like going to fifth period?” ” Because in that classroom, there’s no closet in which to hide.”",0.625,0.27849999999999997,0.388
S001,6,0,"So when we think of this issue, we must also consider the direct trauma for those who have been directly affected by gun violence, including that to our kids who are in schools across our country doing this.",0.6056363636363635,0.48490909090909096,0.5797272727272728
S001,6,1,"Not to mention their teachers, who want to teach and also have to worry about will",0.6288333333333334,0.515,0.6011666666666666
S001,7,0,"That there are certain things in particularly the matters of national security, where it’s not about partisanship, it’s about where should America stand in terms of supporting our allies and standing for certain principles.",0.6331249999999999,0.35300000000000004,0.5900000000000001
S001,7,1,I’ll give you as a point of reference for me in terms of how I feel about this on the partisan issue.,0.63,0.39399999999999996,0.5726666666666668
S001,7,2,"For the four years that I was in the United States Senate, my favorite committee was the Senate Intelligence Committee.",0.6837142857142858,0.42271428571428565,0.6867142857142856
S001,7,3,"And I served on that committee and we would meet in a room that’s called a SCIF, and it’s basically a, it’s very secure room.",0.6836,0.3954,0.6174
S001,7,4,"No press with all due respect is allowed in, no cameras, everyone has to leave their cell phone outside.",0.6308571428571429,0.3711428571428571,0.507
S001,7,5,It’s a bipartisan committee.,,,
S001,7,6,"And we would go in that room and receive classified information from America’s intelligence communities, sometimes our military leaders about hotspots around the world and threats to our national security.",0.6356999999999999,0.4484,0.6414000000000001
S001,8,0,"And when we went in that room, and this is why it was my favorite committee, people would take off their suit jacket, roll up their sleeves, have a cup of coffee on the table, and we weren’t Democrats or Republicans, we were Americans.",0.6944444444444444,0.4116666666666667,0.417
S001,8,1,"And that is so important on a number of issues we are discussing this afternoon, but in particular on national security.",0.6232500000000001,0.407,0.6305000000000001
S001,8,2,"My opponent, however, has made it a thing of his to admire dictators and autocrats around the world.",0.658,0.45699999999999996,0.482
S001,8,3,He exchanged love letters with Kim Jong Un.,0.8315,0.42300000000000004,0.5185
S001,8,4,Remember that?,0.776,0.422,0.454
S001,8,5,He has openly praised the president of Russia.,0.7433333333333333,0.4836666666666667,0.749
S001,8,6,"Most recently, the report is in the height of COVID, remember, everyone was scrambling to get their hands on COVID tests?",0.6052500000000001,0.614,0.6552499999999999
S001,8,7,Remember when Americans were dying by the hundreds every day?,0.40800000000000003,0.543,0.438
S001,8,8,And Donald Trump secretly sent COVID tests to the president of Russia for his personal use.,0.648,0.51325,0.70425
S001,8,9,"He has said, Donald Trump, “I will solve the matter of Ukraine and Russia in a day.”",0.6136666666666667,0.4303333333333333,0.6616666666666667
S001,9,0,Read through and understand what he is saying.,0.75,0.3285,0.627
S001,9,1,"He would surrender, he would have Ukraine surrender its fight against an aggressor violating its sovereignty.",0.42249999999999993,0.5708333333333333,0.5441666666666667
S001,9,2,"If Donald Trump were president, Vladimir Putin will be sitting in Kyiv.",0.64225,0.37749999999999995,0.635
S001,9,3,And understand what that would mean for America and our standing around the world.,0.57425,0.3925,0.5287499999999999
S001,9,4,"But thankfully there has been bipartisan support, and to your point of where you stand on this very fundamental issue, but this is a very vivid example of what is at stake in this election.",0.574,0.41850000000000004,0.58
S001,9,5,Because Donald Trump has been very clear he would give away the shop.,0.6849999999999999,0.45024999999999993,0.5995
S001,9,6,"He has been manipulated and is so clearly able to be manipulated by favor and flattery, including from dictators and autocrats around the world.",0.742,0.35650000000000004,0.60025
S001,9,7,"And America knows that that is not how we stand, that is not how we fight.",,,
S001,9,8,We fight in favor of our strength and our role as a leader in bringing the allies together and standing for foundational and fundamental principles.,0.7144999999999999,0.478875,0.69525
S001,10,0,"And it should be a constant reminder to us, we have to remember history, that isolationism, which is exactly what Donald Trump is pushing, pull out a NATO, abandon our friends, isolationism is not insulation.",0.5796250000000001,0.46125000000000005,0.5615000000000001
S001,10,1,It is not insulation.,,,
S001,10,2,It will not insulate us from harm in terms of our national security.,0.4648,0.43439999999999995,0.5504
S001,10,3,So I say that to emphasize a point that the congresswoman made.,0.5236666666666666,0.36933333333333335,0.5606666666666666
S001,10,4,And the other point I’d make is also check out where he’s been on how he thinks about America’s military and service members.,0.5415,0.41883333333333334,0.5303333333333333
S001,10,5,"One of the great, great American heroes of prisoner of war, John McCain.",0.53325,0.4982500000000001,0.45375000000000004
S001,10,6,Remember how he talked about John McCain?,0.669,0.402,0.3905
S001,10,7,He said he didn’t like him because he got caught.,0.719,0.353,0.446
S001,10,8,"He’s called members of our military, suckers and losers.",,,
S001,10,9,"And then look at how some of the highest ranking members of our military, including what I mentioned earlier, the chairman, the former chairman of the Joint Chiefs of Staff, a dedicated member, leader in America’s military, how he has assessed Donald Trump, fascism to his core.",0.61725,0.54,0.705375
S001,11,0,So I will share with you a specific proposal that is an extension of how I think about things.,0.7128333333333332,0.48816666666666664,0.619
S001,11,1,"Actually, personal story, I took care of my mother when she was sick.",0.8033333333333333,0.363,0.5640000000000001
S001,11,2,"And for anyone taking care of or who has taken care of an elder relative, you know what that is?",0.66775,0.3135,0.5415
S001,11,3,It’s about trying to cook something they feel like eating.,0.7893333333333333,0.48499999999999993,0.48466666666666663
S001,11,4,It is trying to find clothes that don’t irritate their skin or help them put on a sweater.,0.5893333333333334,0.48900000000000005,0.45450000000000007
S001,11,5,It’s about trying to figure out something,0.688,0.328,0.509
S001,12,0,Thank you.,0.958,0.353,0.526
S001,12,1,And I’ve actually met with members and leaders in the Chaldean community and thank you for being here.,0.854,0.3515,0.5925
S001,12,2,I think that there is something at stake that is about core values as well as what is at stake in terms of the risk and the danger.,0.5081666666666668,0.53,0.5268333333333334
S001,12,3,And I would offer you an example of what I think would be an important issue that would affect the Chaldean community and all Americans.,0.598,0.4849090909090909,0.5439090909090909
S001,12,4,"For example, the issue of how we think about healthcare in America.",0.6273333333333334,0.5396666666666666,0.533
S001,12,5,So I know enough about the culture and to know that it is reflective of who we are as Americans in general.,0.73475,0.3295,0.7045
S001,12,6,"We respect our elders, we take care of them.",0.828,0.417,0.5353333333333333
S001,13,0,"Look, I am a capitalist.",,,
S001,13,1,I am a pragmatic capitalist.,0.573,0.433,0.637
S001,13,2,I will work as I have with the private sector.,0.70875,0.45375,0.6805
S001,13,3,"I believe we have to invest in America’s economy and America’s industry and America’s entrepreneurs, and we can at the same time take care of those that are the most in need of just a little support to be able to not just get by, but get ahead.",0.680375,0.437,0.5826875
S001,14,0,"And I say do not despair because in a democracy, as long as we can keep it in our democracy, the people, every individual has the power to make a decision about what this will be.",0.6042727272727273,0.45418181818181824,0.5770000000000001
S001,14,1,And so let’s not feel powerless.,0.802,0.602,0.596
S001,14,2,I get it.,0.74,0.594,0.667
S001,14,3,"Overwhelming nature of this all make us feel powerless because then we have been defeated, and that’s not our character as the American people.",0.6027142857142858,0.47114285714285714,0.5665714285714285
S001,14,4,We are not one to be defeated.,0.6060000000000001,0.266,0.462
S001,14,5,"We rise to a moment and we stand on broad shoulders of people who have fought this fight before for our country, and in many ways let us look at the challenge then that we are being presented and not be overwhelmed by it.",0.603,0.506,0.5587692307692309
S001,15,0,"The baton is now in our hands to fight for, not against, but for this country we love.",0.5003333333333333,0.49899999999999994,0.6736666666666666
S001,15,1,That’s what we have the power to do.,0.738,0.5295000000000001,0.7729999999999999
S001,15,2,So let’s own that.,,,
S001,15,3,"Dare I say, be joyful in what we will do in the process of owning that, which is knowing that we can and will build community and coalitions and remind people that we’re all in this together.",0.7118461538461538,0.4636153846153847,0.6281538461538462
S001,15,4,Let’s not let the overwhelming nature of this strip us of our strength.,0.5095,0.47174999999999995,0.5065000000000001
S001,15,5,That’s how I feel about this.,0.802,0.602,0.596
S001,15,6,That’s how I feel about this.,0.802,0.602,0.596
