line_id	line_text	speech_id	anger_score
26	So, Donald Trump has a very different approach. So, Donald Trump makes big promises, and he always fails to deliver.	S030	0.6728015542030334
27	He said he was the only one who could bring back America’s manufacturing jobs. Remember that?	S030	0.6686243414878845
28	And then America lost nearly 200,000 manufacturing jobs when he was president, including tens of thousands of jobs in Michigan. And those losses started before the pandemic, making Donald Trump one of the biggest losers of manufacturing jobs in American history.	S030	0.6675984859466553
29	And his track record for the auto industry was a disaster. He promised workers in Warren that the auto industry would, I’ll quote, “not lose one plant” during his presidency. And then American automakers announced the closure of six auto plants when he was president.	S030	0.6578566431999207
30	We need a medic over here. We need a medic over here. Right here.	S030	0.6745374202728271
31	Okay. Can everyone part so the medic can come through, please? Let’s let the medic through.	S030	0.6853825449943542
32	So, remembering, again, what Donald Trump talked about versus what he did. Then automakers, American automakers announced the closure of six plants when he was president, including General Motors in Warren and Stellantis in Detroit.	S030	0.6516290903091431
33	Thousands of Michigan autoworkers lost their jobs. And when it came to building the cars of the future, Donald Trump sat on the sidelines and let China dominate.	S030	0.6563394665718079
34	And then he talked down to American workers, saying we can’t compete with Chinese workers.	S030	0.665657103061676
35	And make no mistake, Donald Trump is no friend of labor. He encouraged automakers to move their plants out of Michigan so they could pay their workers less.	S030	0.6669113039970398
36	And when the UAW went on strike to demand higher wages that they deserved, Donald Trump went to a nonunion shop, don’t forget, and he attacked the UAW. And he said striking and collective bargaining don’t make, quote, “a damn bit of difference.”	S030	0.6810063123703003
37	Remember how he’s talked about striking workers, that you should fire them. That’s how he talks about union labor. That’s how he talks about workers.	S030	0.6716952323913574
38	But, Flint, we know strong unions mean higher wages, better health care, and greater dignity for union members and for everyone.	S030	0.6832132935523987
39	And on top of all of that, Donald Trump signed a $2 trillion tax cut that mostly went to the wealthy and big corporations, not to working people.	S030	0.6623849272727966
40	And now he is making the same empty promises to the people in Michigan that he did before. But we will not be fooled. We will not be gaslighted. Donald Trump’s track record is a disaster for working people.	S030	0.6788139939308167
41	And if he wins again, it will be more of the same. Check this out. Two days ago, his running mate, maybe you saw that. No, but … How about that Tim Walz, by the way? That’s right. That’s right.	S030	0.6765824556350708
42	So, two days ago, Donald Trump’s running mate suggested that if Trump wins, he might let the Grand River assembly plant in Lansing close down, the same plant that our administration helped save earlier this year, along with 650 union jobs.	S030	0.6587051153182983
43	Michigan, we together fought hard for those jobs. And you deserve a president who won’t put them at risk.	S030	0.6770193576812744
44	And for anybody watching, you know, if you want to learn more about Donald Trump’s plans, just google Project 2025.	S030	0.6683987975120544
45	It is a detailed and dangerous blueprint for what he will do if he is elected president. Donald Trump will give billionaires and corporations massive tax cuts, attack unions, cut Social Security and Medicare, and impose a Trump sales tax, a 20% tax on everyday basic necessities, which will cost the average family nearly $4,000 a year.	S030	0.679032564163208
46	And on top of all this, Donald Trump intends to end the Affordable Care Act even after he tried to repeal it time and time again when he was president and still has no plan to replace it.	S030	0.6780951619148254
47	Now, you know, I have said that I do believe he is an unserious man. And the consequences of him being president again are absolutely, critically serious. ‘Cause, think about it. Even on health care, he has a concept of a plan. So, he’s going to threaten the health insurance of 45 million people in our country based on a concept?	S030	0.7041508555412292
48	To take us back, do you remember that, when insurance companies could deny people with preexisting conditions? Remember what that was like?	S030	0.6756025552749634
49	Well, Michigan, we are not …	S030	0.6766051650047302
50	And these 32 days out from the election, it’s important that we remind people how we got here. Donald Trump handpicked three members of the United States Supreme Court with the intention that they would overturn Roe v. Wade, and they did. And now more than one in three women in America lives in a state with a Trump abortion ban, many with no exceptions even for rape and incest, which is immoral.	S030	0.6924707293510437
51	And when Congress passes a bill to restore reproductive freedom, as President of the United States, I will proudly sign it into law. Proudly.	S030	0.6902584433555603
52	And here’s what I want to say. Look, and that’s not our only battle. Across our nation, we are witnessing a full-on assault on other hard-fought, hard-won freedoms and rights, like the freedom to vote; the freedom to be safe from gun violence; the freedom to join a union; the freedom to love who you love openly and with pride; and the freedom to breathe clean air and drink clean water.	S030	0.6773223280906677
53	Flint, you know all too well, Flint, that clean water should be a right for everyone, not just for the people who can afford it. And as president, I will continue to work with communities like Flint to ensure you not only have clean water but the opportunity to recover economically and thrive.	S030	0.6798007488250732
54	So, Michigan, it all comes down to this. We are all here together because we know what is at stake, and we love our country. We love our country. We love our country.	S030	0.7009632587432861
55	So, Election Day is in 32 days. And already nearly 2 million ballots are in the hands of Michigan voters alone.	S030	0.6906320452690125
56	So, if you have received your ballot, please do not wait. Fill it out and return it today. Early voting starts statewide on October 26th, and now is the time to make your plan to vote, because, folks, the election is here. The election is here. And we need to energize, organize, and mobilize. And remember: Your vote is your voice, and your voice is your power. So, Flint, today I ask: Are you ready to make your voices heard?	S030	0.6881747841835022
57	Do we believe in freedom?	S030	0.6715055108070374
58	God bless you. And God bless the United States of America.	S030	0.694194495677948
59	Hey, everyone. Can we hear it for Eric Price?	S030	0.6799388527870178
60	Oh, it’s good to be back in Michigan. Thank you all so very much. Thank you. Thank you so very much.	S030	0.7273635864257812
61	And, Eric Price, thank you for your leadership of UAW 651, and all the work that you do. And I want to thank all the leaders who are here. This is … I mean, this is, we’ve got thousands of leaders who are here, and I thank them, including all our friends in labor: Shawn Fain, April Verrett; all of the incredible elected leaders, starting with the Governor Whitmer, who is amazing and is my friend, my dear friend; Mayor Neeley; Senator Stabenow; Senator Peters; Representative Slotkin, who we will elect to the United States Senate.	S030	0.6967450380325317
62	And did you all see Magic Johnson? Remember his number: 32? Today we got 32 days until the election.	S030	0.6733261942863464
63	So, 32 days, 32 days.	S030	0.6624428629875183
64	Okay. We got some business to do. We got some business to do.	S030	0.6801989674568176
65	All right. 32 days. And we know we will do it. And this is going to be a very tight race until the very end. This is going to be a very tight race until the very end. We are the underdog, and we know we have some hard work ahead. But here’s the thing about us: We like hard work. We like hard work. Hard work is good work. Hard work is good work.	S030	0.6941295862197876
66	And with your help, in November, we will win. We will win. We are not playing around.	S030	0.6867644786834717
67	So, listen, we know this election is about two very different visions for our nation: one focused on the past, and ours, which is focused on the future. We are fighting for a future where we tap into the ambitions and the aspirations of the American people and build what I call an opportunity economy so every American has an opportunity to own a home, build wealth, start a business.	S030	0.6746655106544495
68	And I’m going to speak about small … Do we have small-business owners in the house right here? Right? Okay. So, on the economy, I’m just going to spend a minute on small businesses. Because let me tell you. So, growing up, our mother often worked very long hours, and so my sister, Maya, and I, we would go over to Ms. Shelton’s house. Ms. Shelton was from Louisiana, and we called her our second mother. And Ms. Shelton was a small-business owner.	S030	0.6849393248558044
69	So, from being a child, I know who our small-business owners are. They are community leaders, civic leaders. They mentor. They hire locally. They build up the community. They are part of the fabric of the community. And small-business owners are the backbone of America’s economy.	S030	0.6957572102546692
70	So, in my plan to build an opportunity economy, one of the things I will do is raise the start-up deduction from $5,000 to $50,000 to help entrepreneurs start their small business.	S030	0.6860795021057129
71	You heard Eric talk about it. We need to build more housing in America. You know, my mother saved up for years to buy our first home. I was a teenager by the time she saved up enough to do that. And right now, we know there’s a serious housing shortage in our country, and it is part of what is driving up costs.	S030	0.685725748538971
72	So, we will cut the red tape and work with the private sector to build 3 million new homes and provide first-time homebuyers with a $25,000 down payment assistance so you can just literally get your foot in the door, and you’ll handle the rest.	S030	0.6868614554405212
73	We need to lower the cost of living. Look, our economy is making good progress. Just this morning, we got a solid jobs report, right? Over 250,000 jobs created last month; unemployment fell; and just a few weeks ago, the Federal Reserve cut interest rates, which helps.	S030	0.7013241648674011
74	But there’s still more we need to do. Prices for everyday things like groceries are still too high. You know it and I know it. And I have a plan on lowering costs on everything from health care to groceries, including taking on corporate price gouging.	S030	0.6826754212379456
75	‘Cause as attorney general, I saw what happens where there are few of them; not everybody but those who take advantage of desperate people, in particular in the middle of an emergency, and there needs to be consequence.	S030	0.6939509510993958
76	I will give a tax cut to 100 million Americans, including $6,000 extending and expanding the Child Tax Credit, so during the first year of a child’s life young parents have the support they need to be able to buy a car seat, to buy a crib, to take care of their child during that first year of their life, knowing it’s about setting them on a path to do everything they have a natural desire to do.	S030	0.6946256756782532
77	And, look, let me, I say all this to say: I will always put the middle class and working families first. I come from the middle class, and I will never forget where I come from. I will never forget where I come from.	S030	0.6964909434318542
78	And we know we cannot have a strong middle class without American manufacturing. So, over the last three and a half years, we have brought manufacturing back to America, creating 730,000 manufacturing jobs. We announced the opening of more than 20 new auto plants in the United States. And we did it by investing in American industry and American workers.	S030	0.6826329827308655
79	And I will make sure that America, not China, wins the competition for the 21st century, which is why, under my plan, we will invest in the industries that built America, like steel, iron, and the great American auto industry. I see you, Shawn.	S030	0.6621286273002625
80	And we will ensure that the next generation of breakthroughs, from advanced batteries to electric vehicles, are not only invented but built right here in America by American union workers.	S030	0.6763705015182495
81	And, Michigan, let us be clear: Contrary to what my opponent is suggesting, I will never tell you what kind of car you have to drive. But here’s what I will do. I will invest in communities like Flint, which helped build the auto industry and the UAW.	S030	0.676000714302063
82	We will retool existing factories, hire locally, and work with unions to create good-paying jobs, including jobs that do not require a college degree, because we understand a college degree is not the only measure of whether a worker has skills and experience to get the job done.	S030	0.693824291229248
83	In fact, part of my plan is to outline all of the federal jobs that should not require a college degree and make that clear. And when I’m elected, I’m going to challenge the private sector to take on the same approach.	S030	0.6714078187942505
84	And then there’s Donald Trump.	S030	0.6707488894462585
85	So, Donald Trump has a very different approach. So, Donald Trump makes big promises, and he always fails to deliver.	S030	0.6728015542030334
86	He said he was the only one who could bring back America’s manufacturing jobs. Remember that?	S030	0.6686243414878845
87	And then America lost nearly 200,000 manufacturing jobs when he was president, including tens of thousands of jobs in Michigan. And those losses started before the pandemic, making Donald Trump one of the biggest losers of manufacturing jobs in American history.	S030	0.6675984859466553
88	And his track record for the auto industry was a disaster. He promised workers in Warren that the auto industry would, I’ll quote, “not lose one plant” during his presidency. And then American automakers announced the closure of six auto plants when he was president.	S030	0.6578566431999207
89	We need a medic over here. We need a medic over here. Right here.	S030	0.6745374202728271
90	Okay. Can everyone part so the medic can come through, please? Let’s let the medic through.	S030	0.6853825449943542
91	So, remembering, again, what Donald Trump talked about versus what he did. Then automakers, American automakers announced the closure of six plants when he was president, including General Motors in Warren and Stellantis in Detroit.	S030	0.6516290903091431
92	Thousands of Michigan autoworkers lost their jobs. And when it came to building the cars of the future, Donald Trump sat on the sidelines and let China dominate.	S030	0.6563394665718079
93	And then he talked down to American workers, saying we can’t compete with Chinese workers.	S030	0.665657103061676
94	And make no mistake, Donald Trump is no friend of labor. He encouraged automakers to move their plants out of Michigan so they could pay their workers less.	S030	0.6669113039970398
95	And when the UAW went on strike to demand higher wages that they deserved, Donald Trump went to a nonunion shop, don’t forget, and he attacked the UAW. And he said striking and collective bargaining don’t make, quote, “a damn bit of difference.”	S030	0.6810063123703003
96	Remember how he’s talked about striking workers, that you should fire them. That’s how he talks about union labor. That’s how he talks about workers.	S030	0.6716952323913574
97	But, Flint, we know strong unions mean higher wages, better health care, and greater dignity for union members and for everyone.	S030	0.6832132935523987
98	And on top of all of that, Donald Trump signed a $2 trillion tax cut that mostly went to the wealthy and big corporations, not to working people.	S030	0.6623849272727966
99	And now he is making the same empty promises to the people in Michigan that he did before. But we will not be fooled. We will not be gaslighted. Donald Trump’s track record is a disaster for working people.	S030	0.6788139939308167
100	And if he wins again, it will be more of the same. Check this out. Two days ago, his running mate, maybe you saw that. No, but … How about that Tim Walz, by the way? That’s right. That’s right.	S030	0.6765824556350708
101	So, two days ago, Donald Trump’s running mate suggested that if Trump wins, he might let the Grand River assembly plant in Lansing close down, the same plant that our administration helped save earlier this year, along with 650 union jobs.	S030	0.6587051153182983
102	Michigan, we together fought hard for those jobs. And you deserve a president who won’t put them at risk.	S030	0.6770193576812744
103	And for anybody watching, you know, if you want to learn more about Donald Trump’s plans, just google Project 2025.	S030	0.6683987975120544
104	It is a detailed and dangerous blueprint for what he will do if he is elected president. Donald Trump will give billionaires and corporations massive tax cuts, attack unions, cut Social Security and Medicare, and impose a Trump sales tax, a 20% tax on everyday basic necessities, which will cost the average family nearly $4,000 a year.	S030	0.679032564163208
105	And on top of all this, Donald Trump intends to end the Affordable Care Act even after he tried to repeal it time and time again when he was president and still has no plan to replace it.	S030	0.6780951619148254
106	Now, you know, I have said that I do believe he is an unserious man. And the consequences of him being president again are absolutely, critically serious. ‘Cause, think about it. Even on health care, he has a concept of a plan. So, he’s going to threaten the health insurance of 45 million people in our country based on a concept?	S030	0.7041508555412292
107	To take us back, do you remember that, when insurance companies could deny people with preexisting conditions? Remember what that was like?	S030	0.6756025552749634
108	Well, Michigan, we are not …	S030	0.6766051650047302
109	And these 32 days out from the election, it’s important that we remind people how we got here. Donald Trump handpicked three members of the United States Supreme Court with the intention that they would overturn Roe v. Wade, and they did. And now more than one in three women in America lives in a state with a Trump abortion ban, many with no exceptions even for rape and incest, which is immoral.	S030	0.6924707293510437
110	And when Congress passes a bill to restore reproductive freedom, as President of the United States, I will proudly sign it into law. Proudly.	S030	0.6902584433555603
111	And here’s what I want to say. Look, and that’s not our only battle. Across our nation, we are witnessing a full-on assault on other hard-fought, hard-won freedoms and rights, like the freedom to vote; the freedom to be safe from gun violence; the freedom to join a union; the freedom to love who you love openly and with pride; and the freedom to breathe clean air and drink clean water.	S030	0.6773223280906677
112	Flint, you know all too well, Flint, that clean water should be a right for everyone, not just for the people who can afford it. And as president, I will continue to work with communities like Flint to ensure you not only have clean water but the opportunity to recover economically and thrive.	S030	0.6798007488250732
113	So, Michigan, it all comes down to this. We are all here together because we know what is at stake, and we love our country. We love our country. We love our country.	S030	0.7009632587432861
114	So, Election Day is in 32 days. And already nearly 2 million ballots are in the hands of Michigan voters alone.	S030	0.6906320452690125
115	So, if you have received your ballot, please do not wait. Fill it out and return it today. Early voting starts statewide on October 26th, and now is the time to make your plan to vote, because, folks, the election is here. The election is here. And we need to energize, organize, and mobilize. And remember: Your vote is your voice, and your voice is your power. So, Flint, today I ask: Are you ready to make your voices heard?	S030	0.6881747841835022
116	Do we believe in freedom?	S030	0.6715055108070374
117	God bless you. And God bless the United States of America.	S030	0.694194495677948
